0.30   7.93   0.15   3
0.51   13.62  0.25   4
0.51   20.98  0.61   5
0.71   16.85  0.32   4
0.71   20.08  0.60   5
0.93   21.79  0.69   4
0.93   17.88  0.35   5
1.32   27.79  0.69   4
1.32   13.82  0.42   5
1.49   26.07  0.67   3
2.33   39.71  0.94   4
2.33   8.52   0.17   5
