#2003.07627 -> Table 1: Distortion Corrected
7.05852 12.79   68.4
6.17097 -10.16  15.22
5.95074 -22.85  17.43
5.50726 7.42    11.12

#1510.02536 -> Table 3: Best fits
0.873 2.990  1.770
1.278 0.337  1.130
1.915 0.459  0.968
0.822 0.923  1.090
0.859 2.160  2.070
1.243 0.407  0.881
1.635 0.608  1.230
1.637 -0.237 1.180
1.657 -0.958 1.300
0.452 -0.706 0.713
1.182 0.298  0.965
1.350 0.175  0.378
0.942 0.686  1.130
1.556 1.050  0.520
1.439 -0.071 0.404
0.908 -1.240 0.540
1.858 0.069  3.400
1.542 -1.150 1.290
2.168 1.640  1.350
2.302 1.600  0.852

#1701.08724 -> Table II
1.02 3.5  8.9
1.07 -1.4 7.2
1.08 4.3  3.4
1.14 -7.5 5.5
1.15 -1.4 0.9
1.31 -4.5 8.7
1.34 -0.7 6.6
1.34 3.0  4.0
1.34 5.7  4.7
1.37 -8.4 7.3
1.58 -1.5 2.6
1.62 -1.7 10.1
1.66 -4.7 5.3
1.69 1.3  2.6
1.74 -7.9 6.2
1.80 -6.4 7.2
1.84 3.5  2.5
1.92 -4.6 6.4
1.97 4.7  4.7
2.31 -0.7 6.8
2.31 -0.2 12.9

#1202.4758 -> Table A1: method-of-moments estimator
0.4521 -0.459 0.787
0.9491 -1.534 2.788
1.5864 -0.410 1.003
1.5419 -5.270 0.906
1.9986 0.266  1.945
2.1679 1.381  0.944
1.2030 0.772  1.190
0.6351 -0.673 3.545
0.6363 -1.561 3.914
0.8575 1.266  1.826
1.1468 -1.581 2.922
2.0292 -0.909 0.934
2.1095 0.386  2.856
2.2485 -1.230 0.672
1.2679 1.076  1.931
1.5336 -0.456 0.903
1.7975 0.443  0.548
2.3092 -0.082 0.563
1.1827 0.142  0.950
1.3499 0.084  0.378
0.8221 0.702  1.050
0.8593 -0.677 2.516
1.2433 1.838  1.221
1.9102 -3.872 3.111
1.8566 0.236  1.445
0.3400 -6.748 3.914
1.7101 -1.465 2.357
0.7693 2.647  4.288
1.9328 2.184  2.454
1.1846 -1.513 2.754
1.6359 1.000  1.110
1.6373 -0.187 1.020
1.6574 -0.137 1.010

0.7627 0.440  0.988
0.9709 -4.485 4.216
1.4380 -4.323 2.571
0.9925 0.513  1.232
2.4547 -2.122 5.496
2.4112 -1.000 0.793
2.6563 1.079  1.689
2.4126 2.420  2.220
2.5499 0.895  0.353
2.5948 0.574  0.345
2.6214 4.264  2.744
1.4080 -2.551 1.110
1.5632 -2.967 2.449
2.0351 8.057  3.830
1.3556 -0.405 0.232
1.4335 0.139  2.500
2.0482 1.400  0.864
0.2223 1.262  3.703
0.4291 -3.153 1.502
2.1412 0.676  0.359
1.2252 0.269  0.895
1.7475 -0.936 1.155
1.9565 1.740  1.530
2.6592 -1.530 1.920
1.3324 8.233  5.915
1.0595 0.372  0.737
1.7891 -2.330 0.495
1.4429 -1.980 2.720
2.7778 -1.130 0.660
0.8771 2.159  2.071
1.0093 -0.643 3.280
1.9721 2.980  0.847
1.3861 0.446  0.693
1.7761 0.262  1.320
1.1868 -0.745 0.925
1.2029 0.623  0.830
1.5515 -0.669 0.998
1.8389 0.612  0.395
3.6077 22.962 16.134
1.6283 0.886  1.130
0.8062 1.738  1.373
1.2342 2.271  1.571

1.7739 -0.739 0.784
1.8197 -0.948 0.974
2.3660 3.090  1.780
0.7908 1.561  1.080
1.3305 2.137  2.249
1.9438 0.518  0.442
1.3224 -0.965 1.930
1.3422 -2.006 1.443
1.5789 1.743  2.716
1.0496 -1.538 0.672
0.7569 2.253  3.219
0.8308 1.672  0.911
1.0201 -2.213 1.442
1.7194 0.485  0.943
0.7446 -0.828 0.542
1.3253 4.962  10.607
1.7765 0.843  0.448
1.7863 -0.489 0.860
1.9155 0.015  0.744
2.1474 6.448  8.831
1.4393 -0.987 0.568
1.7529 6.396  3.258
1.4187 -2.919 1.771
2.0188 0.849  0.755
2.4564 -0.903 1.390
2.6682 0.199  0.849
0.4878 3.580  2.170
1.2030 -0.812 3.290
1.2411 -2.660 1.200
0.5097 -0.567 1.142
0.6602 -0.073 1.831
1.1020 1.395  4.030
1.1292 2.278  2.760
1.1595 -2.557 1.205
1.5855 -4.500 2.456
2.0329 2.440  1.200
3.1878 3.411  1.153
3.1917 2.238  4.217
1.7380 1.310  0.636
2.0225 -1.628 1.244
2.6378 1.320  3.330
2.7686 -0.206 1.090

1.6148 4.320  1.568
2.1329 -0.470 2.222
2.3828 1.170  0.858
2.8523 2.089  0.524
0.9865 -0.093 1.050
1.0529 1.500  1.290
1.1543 -6.250 4.000
1.7569 -6.183 4.308
2.1126 1.177  0.858
2.2533 2.220  1.120
2.3798 0.747  1.510
1.6270 6.091  2.709
0.9478 0.151  1.305
0.9483 -2.686 2.009
1.0172 -0.525 0.546
1.0182 -0.412 1.040
1.2970 -1.435 2.763
1.9206 0.857  0.385
2.0762 0.942  0.584
0.7866 -0.557 1.479
0.9408 1.691  1.762
0.9424 0.988  1.250
1.5554 0.945  0.604
1.6279 2.300  0.861
1.4129 -1.649 1.785
1.4334 -4.507 2.935
1.4518 1.024  1.586
1.6398 -1.484 2.957
2.1522 0.525  0.437
2.2015 -0.058 5.494
2.2875 0.758  0.376
2.1733 4.160  7.517
2.5718 -17.274 6.799
1.1084 -1.536 2.527
1.5899 3.051  2.268
2.1713 -0.794 0.951
1.7962 0.942  3.357

