# z mu_apparent dmu
0.013334 14.847448 0.082045
0.016568 15.213570 0.095368
0.029619 16.929079 0.063288
0.010477 14.196952 0.107575
0.017166 15.171649 0.073720
0.027885 15.986303 0.057481
0.053693 17.691629 0.066535
0.020126 15.752663 0.055132
0.023506 16.068270 0.069362
0.015142 15.162252 0.070779
0.013532 14.444950 0.077103
0.023201 15.938886 0.055778
0.016433 15.106811 0.057907
0.021804 15.824715 0.068765
0.017341 15.263857 0.107382
0.022093 15.805978 0.077564
0.016200 14.723515 0.068698
0.040600 17.370348 0.087795
0.014300 14.886907 0.096458
0.031213 16.519445 0.098386
0.037839 17.054838 0.108503
0.030322 16.509805 0.087524
0.036060 16.657997 0.087220
0.038200 16.980480 0.061064
0.018696 15.965157 0.077210
0.019476 15.776701 0.068206
0.026137 16.263988 0.104785
0.029245 16.608545 0.082103
0.054516 17.446374 0.096878
0.023934 15.993144 0.092771
0.033500 16.934645 0.098637
0.034308 16.777990 0.086849
0.033499 16.765072 0.080309
0.040200 17.337432 0.075367
0.025900 16.403293 0.065101
0.014300 15.006572 0.082178
0.032900 16.911466 0.059881
0.023600 15.980423 0.058122
0.069128 18.546233 0.093265
0.065197 18.428850 0.067641
0.031600 16.524137 0.058978
0.021450 15.946088 0.066197
0.085000 18.947307 0.131374
0.030794 16.449060 0.080960
0.042322 17.400050 0.082601
0.068471 18.631745 0.084765
0.049184 17.763354 0.089743
0.035967 17.002479 0.081953
0.022900 16.125389 0.077223
0.030000 16.383482 0.068143
0.023200 16.061420 0.069946
0.015000 15.281265 0.072777
0.032159 16.771820 0.071341
0.024200 16.115032 0.063900
0.031203 16.851283 0.071171
0.064244 18.104806 0.072585
0.020200 15.579042 0.059606
0.022762 16.520277 0.071824
0.019100 15.406342 0.068574
0.024400 16.145653 0.055712
0.041483 17.760473 0.110579
0.035187 16.798110 0.120382
0.029571 16.425019 0.069723
0.049433 17.673126 0.096603
0.040523 17.215075 0.060761
0.032631 16.578585 0.074414
0.016118 15.326237 0.084085
0.026669 16.452205 0.079076
0.025924 16.096754 0.068330
0.070281 18.191581 0.057245
0.021845 16.286073 0.065777
0.035250 16.565638 0.089277
0.012077 16.041896 0.103548
0.036405 17.141610 0.072754
0.016658 15.706513 0.072957
0.037514 17.313798 0.060245
0.040333 17.115548 0.061148
0.019306 15.420176 0.102180
0.012472 14.808829 0.086178
0.012409 14.635568 0.083150
0.044045 16.764259 0.063895
0.022047 15.778402 0.065274
0.014571 15.128858 0.093812
0.019895 15.663910 0.075444
0.011269 14.673171 0.095959
0.033757 16.549799 0.065738
0.019314 16.006091 0.075745
0.052951 18.023075 0.137558
0.038699 17.047718 0.072494
0.048220 17.213544 0.065681
0.040284 17.132193 0.055933
0.350192 22.309065 0.047618
0.304757 21.927401 0.055257
0.322236 21.830819 0.050149
0.689366 24.086611 0.159571
0.689360 23.844992 0.109855
0.235019 21.355446 0.054258
0.313460 21.973452 0.123164
0.749311 24.299191 0.120884
0.150288 20.323257 0.076184
0.419625 22.958109 0.085035
0.829295 24.384802 0.198242
0.312542 21.874015 0.083193
0.611702 23.772717 0.109261
0.258483 21.505167 0.063319
0.277876 21.885994 0.053247
0.337655 22.170884 0.057027
0.329942 22.234503 0.045553
0.219502 20.926583 0.085472
0.423857 22.680973 0.074899
0.217111 21.165628 0.088766
0.495597 23.150283 0.068306
0.325720 22.090353 0.047815
0.328541 22.071263 0.066744
0.349283 22.362637 0.075518
0.366920 22.205735 0.084818
0.077179 18.871477 0.054079
0.333490 22.057614 0.045935
0.789284 24.309282 0.132568
0.336931 22.019301 0.083902
0.147762 19.990024 0.065470
0.329079 22.071384 0.045631
0.141394 20.169812 0.050348
0.526162 23.157571 0.142027
0.529383 23.359580 0.071819
0.779299 23.996181 0.205220
0.731618 24.177531 0.148642
0.769326 24.180687 0.125081
0.344425 22.198424 0.092896
0.633904 23.703741 0.103289
0.719609 24.220810 0.161053
0.399451 22.636319 0.155445
0.288953 21.723438 0.047591
0.648833 24.000647 0.101076
0.639350 23.591393 0.103225
0.304794 22.053727 0.049751
0.699325 24.234543 0.104169
0.848508 24.624033 0.154058
0.330543 22.193771 0.058005
0.499220 23.053439 0.106348
0.507994 23.205165 0.085253
0.344477 22.248982 0.072886
0.181771 20.749984 0.050454
0.453467 22.930949 0.083578
0.459616 22.951779 0.112685
0.195563 20.691971 0.054975
0.148233 20.037668 0.071316
0.211341 21.001691 0.093893
0.183806 20.739758 0.050084
0.349146 22.274932 0.084044
0.425890 22.767176 0.113728
0.312482 21.983622 0.077672
0.291864 21.810950 0.067850
0.232115 21.319900 0.052970
0.358998 22.302124 0.121534
0.307059 21.963551 0.064456
0.383997 22.589215 0.109163
0.368899 22.197706 0.105348
0.207563 21.086577 0.069724
0.369020 22.465853 0.121243
0.564859 23.445252 0.144077
0.303952 21.724671 0.087627
0.289678 21.653537 0.114326
0.558846 23.387141 0.167238
0.539431 23.352126 0.160970
0.249078 21.152709 0.056620
0.389501 22.589384 0.106964
0.218451 21.312656 0.068744
0.443835 22.618130 0.165554
0.291967 21.882099 0.072515
0.395117 22.358690 0.126332
0.359997 22.322040 0.077130
0.492453 23.301499 0.199375
0.273466 21.647095 0.081518
0.233591 21.237693 0.070886
0.224796 21.231321 0.055925
0.296862 21.915509 0.070388
0.147158 20.239166 0.090128
0.362737 22.318933 0.117934
0.425449 22.668514 0.135307
0.442457 22.841718 0.103917
0.523919 23.224503 0.238445
0.396970 22.324625 0.075690
0.184425 21.058268 0.061552
0.146186 20.312708 0.071602
0.235074 21.211109 0.065732
0.196137 20.790839 0.140111
0.380004 22.510505 0.073399
0.159772 20.017100 0.072743
0.381289 22.367416 0.102670
0.310414 21.692492 0.071657
0.198353 20.472464 0.051268
0.608792 23.204304 0.226445
0.231920 20.962894 0.064407
0.294949 21.850725 0.054557
0.172382 20.253807 0.070958
0.179772 20.547476 0.076509
0.259110 21.473275 0.060789
0.562649 23.662197 0.191725
0.728598 24.358709 0.255121
0.218864 21.168333 0.125821
0.428947 22.840526 0.131628
0.332434 22.026041 0.067407
0.449440 22.786477 0.190738
0.407016 22.583451 0.233439
0.479474 23.135004 0.134552
0.409492 22.637881 0.100460
0.578670 23.093420 0.320979
0.548850 23.044050 0.272081
0.421729 22.565126 0.203542
0.410675 22.547270 0.190177
